,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
1359,13590.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,6.393282907203943e+149,3.6128071865639676e+179,3.6128071865639676e+179
1360,13600.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.642204579728199e+150,1.0745188360929713e+180,1.0745188360929713e+180
1361,13610.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,4.218233293948998e+150,3.19582714907266e+180,3.19582714907266e+180
1362,13620.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.0835125137164579e+151,9.505008961858894e+180,9.505008961858894e+180
1363,13630.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.783154191742418e+151,2.826973773948743e+181,2.826973773948743e+181
1364,13640.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,7.148922746120136e+151,8.407967578634509e+181,8.407967578634509e+181
1365,13650.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.8363012937489392e+152,2.5006924172707517e+182,2.5006924172707517e+182
1366,13660.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,4.716797986457583e+152,7.437543624319048e+182,7.437543624319048e+182
1367,13670.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.2115758628927972e+153,2.21206953648549e+183,2.21206953648549e+183
1368,13680.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.112102904892188e+153,6.579123271623352e+183,6.579123271623352e+183
1369,13690.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,7.993873753405534e+153,1.9567586962924506e+184,1.9567586962924506e+184
1370,13700.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.053338836737458e+154,5.819779380074416e+184,5.819779380074416e+184
1371,13710.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,5.2742894227697286e+154,1.7309151147207828e+185,1.7309151147207828e+185
1372,13720.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.3547753744988708e+155,5.148076823370149e+185,5.148076823370149e+185
1373,13730.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.479930978806066e+155,1.5311377637138538e+186,1.5311377637138538e+186
1374,13740.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,8.938691863759027e+155,4.553900285302912e+186,4.553900285302912e+186
1375,13750.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.2960286488970816e+156,1.3544181523013853e+187,1.3544181523013853e+187
