,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s,delta_path_loss,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K),alpha_s low band,alpha_s high band
295,2950.0,139.7403846153846,0.1,0,2.8079308817496447,1.9189896617216727e-05,2.288348291162406e-15,6.448015610035396e-07,0.9999871040519334,1280274.1331687113,30.045411163527753,30.045411163527753,6.448015610035396e-07,4.95631946202237e-05
296,2960.0,139.86153846153846,0.1,0,2.8080261708856127,1.92558458449294e-05,2.3858440363422865e-15,6.470052273060625e-07,0.9999870599791767,1280256.0897925396,30.201031686377572,30.201031686377572,6.470052273060625e-07,4.973258121671391e-05
297,2970.0,139.9826923076923,0.1,0,2.8081214599718054,1.9322021718931384e-05,2.4873139727469575e-15,6.492187621702766e-07,0.9999870157090532,1280237.984944952,30.357107504753063,30.357107504753063,6.492187621702766e-07,4.990272636819734e-05
298,2980.0,140.10384615384615,0.1,0,2.808216749008227,1.9388425018136233e-05,2.5929126408154476e-15,6.514399038378295e-07,0.9999869712867977,1280219.8184164586,30.513638735356178,30.513638735356178,6.514399038378295e-07,5.0073290102825835e-05
299,2990.0,140.225,0.1,0,2.8083120379948836,1.9455056524134446e-05,2.702800294338508e-15,6.536664209659248e-07,0.9999869267570363,1280201.5900598147,30.67062650688999,30.67062650688999,6.536664209659248e-07,5.024459926650418e-05
300,3000.0,140.34615384615384,0.1,0,2.808407326931779,1.95219170212025e-05,2.8171431004714356e-15,6.5590255174708e-07,0.9999868820350063,1280183.2996096078,30.82807088307482,30.82807088307482,6.5590255174708e-07,5.041631628175419e-05
301,3010.0,140.46730769230768,0.1,0,2.8085026158189175,1.9589007296312346e-05,2.9361133463457585e-15,6.581439199036083e-07,0.9999868372082322,1280164.946922484,30.985972931959477,30.985972931959477,6.581439199036083e-07,5.058876585151503e-05
302,3020.0,140.58846153846153,0.1,0,2.808597904656305,1.965632813914039e-05,3.0598896524835043e-15,6.603947358418386e-07,0.999986792192507,1280146.5317376999,31.144333175938357,31.144333175938357,6.603947358418386e-07,5.076177664297029e-05
303,3030.0,140.70961538461538,0.1,0,2.808693193443946,1.972388034207703e-05,3.188657193224138e-15,6.626527786970595e-07,0.9999867470322474,1280128.0538564646,31.303152109671224,31.303152109671224,6.626527786970595e-07,5.09353429372577e-05
304,3040.0,140.83076923076922,0.1,0,2.8087884821818436,1.9791664700235873e-05,3.322607924379851e-15,6.649200921960662e-07,0.9999867016865794,1280109.5130230205,31.462430707081,31.462430707081,6.649200921960662e-07,5.110962182709387e-05
305,3050.0,140.95192307692307,0.1,0,2.8088837708700045,1.9859682011462978e-05,3.4619408183413602e-15,6.671923615606993e-07,0.9999866562417975,1280090.909101946,31.62216889839721,31.62216889839721,6.671923615606993e-07,5.128428165355831e-05
306,3060.0,141.0730769230769,0.1,0,2.8089790595084327,1.9927933076346542e-05,3.606862106862444e-15,6.69473742239103e-07,0.9999866106147939,1280072.2418419705,31.78236759919967,31.78236759919967,6.69473742239103e-07,5.145964182854077e-05
307,3070.0,141.19423076923076,0.1,0,2.809074348097133,1.999641869822597e-05,3.757585531758251e-15,6.717641414023853e-07,0.999986564807425,1280053.5109944344,31.94302769141082,31.94302769141082,6.717641414023853e-07,5.163569521667321e-05
308,3080.0,141.31538461538463,0.1,0,2.80916963663611,2.0065139683201632e-05,3.9143326037588096e-15,6.740613784859184e-07,0.9999865188633016,1280034.7163715034,32.104149524724804,32.104149524724804,6.740613784859184e-07,5.181227420708809e-05
309,3090.0,141.43653846153848,0.1,0,2.8092649251253676,2.0134096840144235e-05,4.0773328697661404e-15,6.763653838158682e-07,0.9999864727838172,1280015.8577873064,32.2657334224598,32.2657334224598,6.763653838158682e-07,5.198937344424969e-05
310,3100.0,141.55769230769232,0.1,0,2.8093602135649114,2.0203290980704216e-05,4.246824188770623e-15,6.786802373166443e-07,0.9999864264873746,1279996.9349422376,32.427780176659674,32.427780176659674,6.786802373166443e-07,5.216714708250857e-05
311,3110.0,141.67884615384617,0.1,0,2.809455501954746,2.0272722919321565e-05,4.423053016689012e-15,6.809996263227997e-07,0.9999863801002252,1279977.947712724,32.59029054669169,32.59029054669169,6.809996263227997e-07,5.23455882507568e-05
312,3120.0,141.8,0.1,0,2.8095507902948764,2.0342393473235123e-05,4.606274700394288e-15,6.833296855992348e-07,0.9999863334996755,1279958.8958041682,32.75326525949836,32.75326525949836,6.833296855992348e-07,5.2524690145632605e-05
313,3130.0,141.92115384615386,0.1,0,2.809646078585307,2.0412303462492436e-05,4.796753781214954e-15,6.856661998059281e-07,0.9999862867700311,1279939.7790395247,32.916704031829504,32.916704031829504,6.856661998059281e-07,5.2704130376205866e-05
314,3140.0,142.0423076923077,0.1,0,2.8097413668260423,2.0482453709959337e-05,4.994764308189389e-15,6.880111494701415e-07,0.999986239871682,1279920.5971865528,33.08060851014353,33.08060851014353,6.880111494701415e-07,5.288453466055621e-05
315,3150.0,142.16346153846155,0.1,0,2.809836655017086,2.0552845041329466e-05,5.2005901613683206e-15,6.903624093184286e-07,0.9999861928471332,1279901.3500722875,33.24497835536361,33.24497835536361,6.903624093184286e-07,5.3065266154571196e-05
