,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
397,3970.0,152.09807692307692,0.0,0.042,3.07826095,3.1507021271028973e-05,0.00040008798347552273,0.04201545564923002,0.04303152270630923,0.4315770967237252,0.4228953821168617,152.05470152822642,152.05700452002748,152.05700452002748
398,3980.0,152.21923076923076,0.0,0.042,3.0783712000000008,3.1615316833504956e-05,0.0004054688657639568,0.04255596100809784,0.04360870051516075,0.4269368281409871,0.4180417335956675,152.17712615118592,152.17944400674696,152.17944400674696
399,3990.0,152.3403846153846,0.0,0.042,3.0784814500000004,3.1723984628212935e-05,0.00041091338512954707,0.04310197442550918,0.04419269022614577,0.4222999275890933,0.4131874956059265,152.29952775034246,152.30186051742922,152.30186051742922
400,4000.0,152.46153846153845,0.0,0.042,3.0785917,3.1833025934585254e-05,0.0004164221842314531,0.043653522980696274,0.044783560459865646,0.41766714829519,0.40833342948527146,152.42190670473317,152.4242544194421,152.4242544194421
401,4010.0,152.5826923076923,0.0,0.042,3.07870195,3.194244203645167e-05,0.00042199591100605167,0.04421063322502916,0.045381380398078236,0.41303924575254125,0.40348030294659093,152.5442633867297,152.54662607341356,152.54662607341356
402,4020.0,152.70384615384614,0.0,0.042,3.0788122000000007,3.2052234222054896e-05,0.00042763521869884814,0.04477333116736012,0.04598621978705284,0.4084169772731275,0.398628889766194,152.66659816219817,152.66897583339104,152.66897583339104
403,4030.0,152.825,0.0,0.042,3.0789224500000008,3.216240378406559e-05,0.00043334076589649905,0.045341642259540405,0.04659814894158296,0.40380110153260707,0.3937799694571609,152.78891139065416,152.7913040469976,152.7913040469976
404,4040.0,152.94615384615383,0.0,0.042,3.0790327,3.2272952019597384e-05,0.0004391132165589282,0.04591559138213064,0.047217238747266806,0.3991923781081274,0.3889343269470014,152.9112034254145,152.9136110555828,152.9136110555828
405,4050.0,153.06730769230768,0.0,0.042,3.07914295,3.2383880230222544e-05,0.0004449532400515537,0.046495202830329214,0.047843560664823495,0.39459156700947706,0.38409275222959743,153.03347461374415,153.0358971943716,153.0358971943716
406,4060.0,153.18846153846152,0.0,0.042,3.0792532,3.2495189721986886e-05,0.0004508615111776171,0.04708050030014155,0.04847718673330552,0.38999942820410866,0.3792560400167376,153.15572529699966,153.15816279260895,153.15816279260895
407,4070.0,153.30961538461537,0.0,0.042,3.0793634500000007,3.26068818054255e-05,0.0004568387102106121,0.047671506874813155,0.049118189572604075,0.3854167211365862,0.3744249893856491,153.27795581076856,153.2804081737,153.2804081737
408,4080.0,153.43076923076922,0.0,0.042,3.0794737000000003,3.271895779557799e-05,0.00046288552292682745,0.04826824501155196,0.04976664238861566,0.38084420424301696,0.3696004033972923,153.40016648500458,153.40263365534992,153.40263365534992
409,4090.0,153.55192307692306,0.0,0.042,3.07958395,3.283141901200406e-05,0.0004690026406379745,0.04887073652856097,0.050422618975016556,0.3762826344610831,0.3647830887315339,153.5223576441599,153.5248395496969,153.5248395496969
410,4100.0,153.6730769230769,0.0,0.042,3.0796942,3.294426677879877e-05,0.0004751907602239388,0.04947900259240885,0.051086193717769936,0.37173276673626104,0.3599738552929848,153.64452960731322,153.64702616344445,153.64702616344445
411,4110.0,153.79423076923075,0.0,0.042,3.0798044500000006,3.305750242460864e-05,0.00048145058416561667,0.050093063705759354,0.051757441598225956,0.3671953535248877,0.35517351581893586,153.76668268829425,153.76919379798974,153.76919379798974
412,4120.0,153.9153846153846,0.0,0.042,3.0799147000000002,3.317112728264674e-05,0.0004877828205778613,0.050712939695485064,0.052436438196167966,0.3626711442947169,0.35038288547916235,153.88881719580513,153.89134274954836,153.89134274954836
413,4130.0,154.03653846153844,0.0,0.042,3.0800249500000003,3.3285142690708794e-05,0.0004941881832425352,0.05133864970119001,0.05312325969418018,0.35816088502363197,0.34560278145827233,154.01093343353799,154.0134733092776,154.0134733092776
414,4140.0,154.15769230769232,0.0,0.042,3.0801352,3.3399549991188826e-05,0.0005006673916416548,0.05197021216416326,0.05381798288055131,0.35366531769721643,0.3408340225407018,154.13303170028962,154.13558576339562,154.13558576339562
415,4150.0,154.27884615384616,0.0,0.042,3.0802454500000005,3.35143505310947e-05,0.0005072211709906413,0.05260764481678801,0.054520685152329176,0.34918517980587715,0.33607742868676993,154.2551122900723,154.25768039329776,154.25768039329776
416,4160.0,154.4,0.0,0.042,3.0803557,3.362954566206449e-05,0.0005138502522716767,0.05325096467243,0.05523144452013108,0.3447212038422331,0.3313338205895266,154.37717549222216,154.37975747567145,154.37975747567145
417,4170.0,154.52115384615385,0.0,0.042,3.0804659500000002,3.37451367403818e-05,0.0005205553722671528,0.0539001880158268,0.055950339610350674,0.340274116799507,0.3266040192423095,154.49922159150393,154.50181728260694,154.50181728260694
418,4180.0,154.6423076923077,0.0,0.042,3.0805762000000003,3.386112512699226e-05,0.0005273372735932324,0.05455533039400178,0.056677449669794315,0.3358446396716494,0.3218888454831794,154.62125086821246,154.6238600817066,154.6238600817066
419,4190.0,154.76346153846154,0.0,0.042,3.0806864500000004,3.397751218751933e-05,0.0005341967047334901,0.055216406607722444,0.057412854567711814,0.33143348695595704,0.31718911955009077,154.743263598272,154.74588613618997,154.74588613618997
420,4200.0,154.8846153846154,0.0,0.042,3.0807967000000005,3.409429929228017e-05,0.0005411344200726815,0.05588343070352835,0.058156634801275794,0.32704136615891216,0.3125056606075689,154.8652600533316,154.867895704999,154.867895704999
421,4210.0,155.00576923076923,0.0,0.042,3.08090695,3.421148781630223e-05,0.0005481511799305897,0.056556415966345176,0.058908871497528985,0.3226689773060299,0.30783928629047713,154.98724050085855,154.98988904289814,154.98988904289814
422,4220.0,155.12692307692308,0.0,0.042,3.0810172000000002,3.432907913933895e-05,0.0005552477505959803,0.05723537491270719,0.059669646417784765,0.31831701245645844,0.3031908122266238,155.10920520422818,155.11186640057366,155.11186640057366
423,4230.0,155.24807692307692,0.0,0.042,3.0811274500000008,3.444707464588643e-05,0.0005624249043606576,0.057920319284607044,0.06043904196092359,0.3139861552230957,0.298561051561427,155.2311544228115,155.23382802473014,155.23382802473014
424,4240.0,155.36923076923077,0.0,0.042,3.0812377000000004,3.456547572519943e-05,0.0005696834195536142,0.05861126004399029,0.061217141167135766,0.3096770802989882,0.2939508144751892,155.35308841206,155.35577415818474,155.35577415818474
425,4250.0,155.4903846153846,0.0,0.042,3.08134795,3.468428377130801e-05,0.0005770240805752847,0.05930820736791292,0.062004027721092585,0.30539045299076256,0.28936090769956563,155.47500742358764,155.47770503995886,155.47770503995886
426,4260.0,155.61153846153846,0.0,0.042,3.0814582,3.480350018303347e-05,0.0005844476779318955,0.060011170644377665,0.06279978595627768,0.301126928759846,0.2847921340234121,155.59691170525033,155.59962090536843,155.59962090536843
